,steps,base_4l_256_4d_em_9,base_4l_256_4d_em_8,base_4l_256_4d_em_5,base_4l_256_4d_em_2,base_4l_256_4d_em_4,base_4l_256_4d_f1_9,base_4l_256_4d_f1_8,base_4l_256_4d_f1_5,base_4l_256_4d_f1_2,base_4l_256_4d_f1_4,base_6l_384_1d_em_8,base_6l_384_1d_em_2,base_6l_384_1d_em_4,base_6l_384_1d_f1_8,base_6l_384_1d_f1_2,base_6l_384_1d_f1_4,base_8l_512_4d_em_2,base_8l_512_4d_em_8,base_8l_512_4d_em_4,base_8l_512_4d_f1_2,base_8l_512_4d_f1_8,base_8l_512_4d_f1_4,v_4l_256_4d_em_8,v_4l_256_4d_em_9,v_4l_256_4d_em_5,v_4l_256_4d_em_2,v_4l_256_4d_em_4,v_4l_256_4d_f1_8,v_4l_256_4d_f1_9,v_4l_256_4d_f1_5,v_4l_256_4d_f1_2,v_4l_256_4d_f1_4,v_6l_384_1d_em_8,v_6l_384_1d_em_2,v_6l_384_1d_em_4,v_6l_384_1d_f1_8,v_6l_384_1d_f1_2,v_6l_384_1d_f1_4,v_8l_512_4d_em_8,v_8l_512_4d_em_2,v_8l_512_4d_em_4,v_8l_512_4d_f1_8,v_8l_512_4d_f1_2,v_8l_512_4d_f1_4
0,500,24.039735099337747,16.906338694418164,12.41248817407758,19.89593188268685,11.863765373699149,33.986476330095165,26.07259165911025,19.27646983447375,29.20285027063839,18.91030322773408,10.122989593188269,14.068117313150426,13.434247871333964,16.331709945316028,21.38759579845052,19.99419781692518,44.049195837275306,43.311258278145694,41.920529801324506,56.654308312181385,56.43479946395141,54.67203135540249,14.266792809839169,8.543046357615895,12.838221381267738,9.441816461684011,18.56196783349101,21.79827557235172,14.943870969143418,19.9860862843688,15.229182958624197,27.35457523777565,23.01797540208136,22.327341532639547,26.56575212866604,33.238165288991794,32.09455210887569,36.9382604055449,37.59697256385998,37.34153263954588,33.34910122989593,49.99710135700613,49.45577876941096,44.88347273052258
1,1000,32.04351939451277,32.64900662251656,32.29895931882687,32.147587511825925,32.05298013245033,42.77579397829864,43.39390301816704,42.7085718421615,42.37396145250053,42.59610500690593,39.72563859981079,38.59035004730369,39.43235572374645,51.21022489703962,50.22565321229794,51.30770047389112,53.39640491958373,53.67076631977295,52.13812677388837,65.60629785714369,65.97716505239984,64.46096696236884,40.14191106906339,32.19489120151372,40.23651844843898,32.78145695364238,38.72280037842952,52.25137775918673,43.18812521676293,52.36323139937842,43.70840738358135,50.63986480658375,41.32450331125828,44.90066225165563,42.99905392620624,52.98786786360032,56.72434382352307,54.80578989979626,52.39356669820246,52.23273415326396,51.106906338694415,64.72161785324805,63.97686560052858,63.23720540802286
2,1500,34.69252601702933,37.4077578051088,34.80605487228004,35.175023651844846,37.89025543992432,45.627321660343775,48.93269794502913,45.7292608423342,46.2913932223416,48.57541808296403,44.49385052034059,45.13718070009461,44.92904446546831,56.44049800173456,57.03552165582367,57.028354879642016,56.9914853358562,57.28476821192053,57.095553453169344,68.71697667826015,69.1986751894215,68.63636532798179,42.95175023651845,35.950804162724694,44.11542100283822,40.794701986754966,43.95458845789972,55.17225623884156,47.1423826669278,56.800347177918006,53.00210867565268,56.33711217311959,45.6480605487228,49.952696310312206,47.46452223273416,57.56309269945955,61.83781000195938,59.726830875935946,56.59413434247871,56.66982024597919,56.16840113528856,68.68877352468645,68.2471179662623,67.99532108870822
3,2000,39.83916745506149,40.2081362346263,39.11069063386944,39.67833491012299,40.397350993377486,51.41684369077065,51.66840266524033,50.31347243204523,51.56438245629244,51.77818499983043,47.615894039735096,46.74550614947966,47.73888363292337,59.23532300354249,58.9625203101949,59.69304755231165,59.0728476821192,58.94039735099338,58.77956480605487,70.76445060060908,70.82379855215298,70.2995490366084,45.345316934720906,38.50520340586566,45.4399243140965,43.28287606433302,46.53736991485336,57.902492707611366,50.1484416276152,57.88472295200423,56.32198031823648,58.96836681842597,47.86187322611163,51.31504257332072,50.9271523178808,59.88707152668951,63.66102268964043,63.3833244127926,58.34437086092715,58.666035950804165,58.18353831598865,70.15514555865786,70.43816667350136,69.78153158340629
4,2500,41.60832544938505,41.84484389782403,41.58940397350993,42.16650898770104,41.93945127719962,53.43508235269663,53.07644092281446,53.51904534657259,53.772713430103785,53.58447394201761,49.413434247871336,49.20529801324504,49.29044465468306,60.8927817832116,61.09299553743192,61.07585046171136,60.59602649006622,60.64333017975402,60.397350993377486,71.79568042744269,71.81306924932416,71.70736208515152,46.76442762535478,40.59602649006622,48.25922421948912,45.75212866603595,48.85525070955534,59.30366936895407,52.31400066200156,61.28044929308635,58.01748360705871,61.091126013859366,49.91485335856197,53.12204351939451,52.081362346263006,61.82787100411825,65.1473674040454,64.5240132086067,60.66225165562914,59.735099337748345,60.11352885525071,71.7990368656181,71.13319415567302,71.45234546397113
5,3000,42.77199621570482,42.93282876064333,42.8949858088931,42.69631031220435,42.92336802270577,54.63672714162608,54.793383082835724,54.604741241797,54.39592408334396,54.40649379559616,50.179754020813625,50.53926206244087,51.06906338694418,61.961176021112166,62.37472738589995,62.90488312613998,61.400189214758754,61.28666035950804,60.75685903500473,72.65172792605871,72.74564753606838,72.08701342224472,48.78902554399243,43.11258278145695,48.968779564806056,46.026490066225165,49.56480605487228,61.36636327537583,54.94135377106237,61.68646450066717,58.24585887521639,62.01662599780754,50.6717123935667,53.9356669820246,53.0085146641438,62.754949706627976,66.0075284961839,65.28151041424029,61.41911069063387,61.19205298013245,60.95553453169347,72.54049568662546,72.51419900715207,72.07583223550309
6,3500,43.04635761589404,43.4720908230842,42.8949858088931,43.73699148533586,44.03973509933775,54.75489810078271,55.10285525923967,54.6024162598315,55.14523041347076,55.4449609967169,51.01229895931883,51.30558183538316,51.88268684957427,62.72378378999135,63.12528580089111,63.57534032293863,62.21381267738884,61.80700094607379,61.72185430463576,73.17192947160821,73.13474450083383,72.90616321051053,49.00662251655629,43.68968779564806,49.498580889309366,47.60643330179754,50.16083254493851,61.62451412420693,55.72779091878947,62.34715591423314,59.79135079780104,62.71937536286646,51.88268684957427,54.50331125827815,54.191106906338696,63.93835588121331,66.40863497978975,66.34455841156033,62.2232734153264,61.90160832544939,61.36234626300851,73.289699485337,72.97709485556855,72.68140417269402
7,4000,43.92620624408704,43.69914853358562,43.48155156102176,43.89782403027437,43.86944181646168,55.74667177432962,55.25590951072185,54.98995176024664,55.62225203167085,55.34763960556594,51.475875118259225,51.38126773888364,52.27057710501419,63.098480116382575,63.23808957499902,64.06156739100484,62.544938505203405,61.97729422894986,62.46925260170293,73.41606016135403,73.30339171179004,73.5029173367819,49.20529801324504,44.3046357615894,49.80132450331126,47.85241248817408,50.406811731315045,61.68159342251368,56.16441215668757,62.584107445833226,60.25651338469031,62.925000214771565,51.95837275307474,54.730368968779565,54.32355723746452,63.89571114522434,66.57562961900634,66.44020359448416,62.50709555345317,62.42194891201514,62.081362346263006,73.5443867039778,73.30674733096541,73.23022371369781
8,4152,43.92620624408704,43.92620624408704,43.48155156102176,43.89782403027437,44.03973509933775,55.74667177432962,55.74667177432962,54.98995176024664,55.62225203167085,55.4449609967169,51.475875118259225,51.38126773888364,51.30558183538316,63.098480116382575,63.23808957499902,63.12528580089111,61.97729422894986,61.97729422894986,62.46925260170293,73.30339171179004,73.30339171179004,73.5029173367819,44.3046357615894,44.3046357615894,49.80132450331126,47.85241248817408,50.406811731315045,56.16441215668757,56.16441215668757,62.584107445833226,60.25651338469031,62.925000214771565,51.95837275307474,51.95837275307474,54.32355723746452,63.89571114522434,63.89571114522434,66.44020359448416,62.50709555345317,62.50709555345317,61.36234626300851,73.5443867039778,73.5443867039778,72.68140417269402
