,steps,base_4l_256_4d_em_mean,base_4l_256_4d_em_std,base_4l_256_4d_f1_mean,base_4l_256_4d_f1_std,base_6l_384_1d_em_mean,base_6l_384_1d_em_std,base_6l_384_1d_f1_mean,base_6l_384_1d_f1_std,base_8l_512_4d_em_mean,base_8l_512_4d_em_std,base_8l_512_4d_f1_mean,base_8l_512_4d_f1_std,v_4l_256_4d_em_mean,v_4l_256_4d_em_std,v_4l_256_4d_f1_mean,v_4l_256_4d_f1_std,v_6l_384_1d_em_mean,v_6l_384_1d_em_std,v_6l_384_1d_f1_mean,v_6l_384_1d_f1_std,v_8l_512_4d_em_mean,v_8l_512_4d_em_std,v_8l_512_4d_f1_mean,v_8l_512_4d_f1_std
0,500,17.0236518448439,5.1326513133745175,25.489738264410327,6.48488910066424,12.541784925890887,2.118578713063348,19.237834520230574,2.611428635329983,43.09366130558183,1.0808867216338358,55.92037971051176,1.0866582928367277,12.730368968779565,4.022686413425942,19.862398204452756,5.136979421361489,23.970356354462314,2.2740499563490153,34.0903259344708,2.5317999210211957,36.095868811100594,2.3821967797814483,48.11211761897989,2.809157951732393
1,1000,32.23841059602649,0.25143145918690457,42.76966705960673,0.3808370420271788,39.24944812362031,0.5893313304087501,50.914526194409554,0.5985690111700978,53.06843267108169,0.8172639360958879,65.34814329063745,0.7903777560188707,36.8155156102176,4.000928065018207,48.430201313098635,4.602375135697919,43.074739829706715,1.7892804304349514,54.839333862306546,1.8684638203175965,51.91106906338695,0.7010528102194128,63.97856295393317,0.7422076782419401
2,1500,35.994323557237465,1.530544487687541,47.03121835060254,1.5979313151781709,44.85335856196784,0.3282753372355261,56.83479151240008,0.34148699841270125,57.12393566698202,0.14868716788554087,68.85067239855448,0.30406250062585494,41.55345316934721,3.400358208715952,53.690841386491925,3.9440787788990987,47.688426363923064,2.161034949962907,59.70924452578496,2.1374129137479687,56.47745190791549,0.27030792449194946,68.31040419321899,0.35103123811542214
3,2000,39.84673604541155,0.5009905167432184,51.34825724883582,0.5936170442919998,47.36676127404604,0.5415256756222618,59.29696362201634,0.36914385712490966,58.93093661305582,0.14687014849820218,70.62926606312348,0.28708105653034305,43.82213812677389,3.196497610285961,56.24520088477865,3.5364760008494143,50.03468937243772,1.8916823773741211,62.31047287637418,2.103315159333278,58.397981709239986,0.24567577046436306,70.12494793852184,0.32935745411702533
4,2500,41.82970671712393,0.24107252356176093,53.47755119884101,0.25640204586514453,49.30305897193315,0.10463992445939276,61.0205425941183,0.11097570458445989,60.54556922106591,0.1305216151786458,71.77203725397278,0.05668113335274269,46.04541154210028,3.2823375487689996,58.40134578899201,3.658601623508096,51.70608640807316,1.636197177687782,63.833083872256786,1.7643133503303847,60.17029328287607,0.4661754018828739,71.46152549508741,0.3330162658568267
5,3000,42.84389782403027,0.10462566736764059,54.56745386903979,0.1677526130439072,50.59602649006623,0.44736387578190495,62.41359551105071,0.4730526644936524,61.14790286975718,0.34337830561504223,72.4947962947906,0.3562588618440515,47.292336802270576,2.7058901337332215,59.65133328402586,3.034673042042613,52.53863134657837,1.6819460865240503,64.68132953901738,1.7073312530978744,61.188899400819935,0.23180416860217082,72.3768423097602,0.26101374952488565
6,3500,43.43803216650899,0.474576491699487,55.0100722060083,0.33440315889894506,51.40018921475875,0.4428393467726966,63.14146997127369,0.42600889395589675,61.914222642699464,0.26292228756978564,73.07094572765085,0.14391191395850408,47.99243140964995,2.5817450729606617,60.44203742357941,2.866247934738238,53.52570167139704,1.4314297635194904,65.56384975752114,1.4080835231209403,61.829076001261434,0.4350225211855456,72.98273283786652,0.30418684550642444
7,4000,43.7748344370861,0.1862348125357584,55.39248493650698,0.3003906384745876,51.70923998738568,0.4884282534607173,63.46604569412881,0.5204394958315264,62.33049511195207,0.30821297314085216,73.40745640330866,0.10004067795889783,48.31409649952697,2.4328209885877934,60.72232532489927,2.749079747479277,53.670766319772945,1.4968609626935716,65.63718145290494,1.5096768450331868,62.3368022705771,0.22527683821742187,73.36045258288034,0.1638224242216314
8,4152,43.85430463576159,0.2153850806163219,55.51010166745873,0.31595401883824803,51.38757489750867,0.08532166041292209,63.15395183075757,0.07408782750913195,62.14128035320088,0.284032298939074,73.36990025345399,0.115196173299281,47.333964049195835,2.922015957352992,59.618889071734046,3.3164844780981273,52.746767581204665,1.3655398987455651,64.74387529497761,1.4690634005311276,62.12551245663828,0.6609213109928562,73.25672586021655,0.4982431967426413
